id;nome;ordem
1;Gestores Escolares;1
2;Equipe Técnica;2
3;Professores Ed. Infantil;3
4;Professores Fund. I;4
5;Acompanhamento CPT;5
6;Acompanhamento Sala;6
7;Seminário;7
8;Formação Familiares;8
