id;avaliacao_id;municipio_id;indicador_id;valor
1;1;1;1;3
2;1;1;2;3
3;1;1;3;3
4;1;1;4;3
5;1;1;5;3
6;1;1;6;2
7;1;1;7;2
8;1;1;8;3
9;1;1;9;3
10;1;1;10;3
11;1;1;11;3
12;1;1;12;3
13;1;1;13;3
14;1;1;14;3
15;1;1;15;2
16;1;1;16;2
17;1;1;17;2
18;1;1;18;2
19;1;1;19;2
20;1;1;20;2
21;1;1;21;2
22;1;1;22;2
23;1;1;23;2
24;1;1;24;2
25;1;1;25;2
26;1;1;26;3
27;1;1;27;2
28;1;1;28;3
29;1;1;29;3
30;1;1;30;2
31;1;1;31;2
32;1;1;32;2
33;1;1;33;2
34;1;1;34;2
35;1;1;35;2
36;1;1;36;2
37;1;1;37;3
38;1;1;38;2
39;1;1;39;2
40;1;1;40;2
41;1;1;41;2
42;1;1;42;2
43;1;1;43;2
44;1;1;44;2
45;1;1;45;2
46;1;1;46;2
47;1;1;47;2
48;1;1;48;2
49;1;1;49;2
50;1;1;50;2
51;1;1;51;2
52;1;1;52;2
53;1;1;53;2
54;1;1;54;3
55;1;2;1;3
56;1;2;2;2
57;1;2;3;3
58;1;2;4;3
59;1;2;5;3
60;1;2;6;2
61;1;2;7;2
62;1;2;8;2
63;1;2;9;2
64;1;2;10;2
65;1;2;11;2
66;1;2;12;2
67;1;2;13;2
68;1;2;14;2
69;1;2;15;2
70;1;2;16;2
71;1;2;17;2
72;1;2;18;2
73;1;2;19;2
74;1;2;20;3
75;1;2;21;3
76;1;2;22;3
77;1;2;23;2
78;1;2;24;2
79;1;2;25;2
80;1;2;26;2
81;1;2;27;2
82;1;2;28;2
83;1;2;29;2
84;1;2;30;2
85;1;2;31;2
86;1;2;32;2
87;1;2;33;2
88;1;2;34;2
89;1;2;35;2
90;1;2;36;2
91;1;2;37;2
92;1;2;38;2
93;1;2;39;2
94;1;2;40;2
95;1;2;41;2
96;1;2;42;2
97;1;2;43;3
98;1;2;44;3
99;1;2;45;3
