id;nome;etapa;ordem
1;1º ANO;anos_iniciais;1
2;2º ANO;anos_iniciais;2
3;3º ANO;anos_iniciais;3
4;4º ANO;anos_iniciais;4
5;5º ANO;anos_iniciais;5
