id;publico_alvo_id;nome;ordem
1;1;Professores Educação Infantil;1
2;1;Professores Fundamental I;2
3;1;Coordenadores Pedagógicos;3
4;1;Gestores Escolares;4
5;1;Equipes Técnicas;5
6;2;Estudantes Educação Infantil;6
7;2;Estudantes Fundamental I;7
8;1;Familiares;8
