id;nome;ordem
1;Gestão da Rede;1
2;Gestão Escolar;2
3;Coordenação Pedagógica;3
4;Gestão do Infantil;4
5;Gestão do Fundamental Anos Iniciais;5
6;Gestão do Fundamental Anos Finais;6
