Data;de;ate;aliquota;ValorDeduzir;DeducaoDependente
2025-01-01;0.00;2259.20;0.00;0.00;189.59
2025-01-01;2259.21;2826.65;7.50;169.44;189.59
2025-01-01;2826.66;3751.05;15.00;381.44;189.59
2025-01-01;3751.06;4664.68;22.50;662.77;189.59
2025-01-01;4664.69;999999.99;27.50;896.00;189.59
